id, nombre, horasTrabajadas, sueldo
932,    debby, 180, 18000
933,    gui, 325, 20000
934,    dorette, 120, 37000
935,    jillane, 90, 37000
936,    carolina, 88, 33000
937,    randy, 120, 15000
938,    arabel, 180, 50000
939,    verina, 75, 37000
940,    josefina, 90, 30000
941,    nina, 120, 25000
942,    vernen, 120, 18000
943,    loria, 180, 25000
944,    isabeau, 88, 37000
945,    cherice, 220, 15000
946,    kimberley, 325, 18000
947,    martyn, 180, 25000
948,    agustin, 75, 25000
949,    clerissa, 120, 15000
950,    lonna, 120, 10000
951,    wake, 220, 25000
952,    edwina, 75, 42000
953,    lacey, 75, 50000
954,    laetitia, 90, 33000
955,    delila, 325, 20000
956,    sioux, 120, 12000
957,    floyd, 75, 15000
958,    trista, 75, 50000
959,    shaughn, 90, 15000
960,    zitella, 120, 42000
961,    ginnie, 180, 15000
962,    burty, 60, 12000
963,    arley, 120, 33000
964,    ansley, 75, 37000
965,    kirstin, 180, 12000
966,    karon, 88, 10000
967,    esme, 120, 37000
968,    berenice, 325, 10000
969,    charlie, 325, 50000
970,    noach, 325, 12000
971,    mercedes, 180, 12000
972,    sloan, 325, 42000
973,    guglielma, 120, 15000
974,    herrick, 75, 30000
975,    aleksandr, 88, 42000
976,    arlina, 325, 33000
977,    wenonah, 325, 12000
978,    warner, 90, 30000
979,    libbey, 120, 42000
980,    brana, 60, 10000
981,    genevieve, 180, 20000
982,    sharai, 75, 10000
983,    josi, 120, 12000
984,    pebrook, 60, 33000
985,    erna, 325, 33000
986,    ferd, 88, 25000
987,    mohammed, 220, 42000
988,    dawn, 180, 37000
989,    wandie, 60, 25000
990,    chiarra, 325, 18000
991,    zaccaria, 88, 33000
992,    trenna, 90, 10000
993,    angelia, 60, 50000
994,    raquela, 180, 12000
995,    maxi, 325, 18000
996,    atalanta, 90, 37000
997,    de witt, 88, 12000
998,    jaye, 75, 25000
999,    tamarra, 60, 15000
1000,    saleem, 60, 20000
